# key	class	module — see tools/i18n/lint_strings.py (note policy)
connections_mt5_body	visible	feature/connections
connections_mt5_pending_note	visible	feature/connections
copy_account_none_body	visible	feature/copytrade
copy_mismatch_body	visible	feature/copytrade
copy_switch_note	visible	feature/copytrade
delete_account_kept_note	visible	feature/account
delete_account_local_note	visible	feature/account
delete_account_web_body	visible	feature/account
detail_copy_note	visible	feature/signal-detail
detail_high_impact_body	visible	feature/signal-detail
detail_stale_note	visible	feature/signal-detail
guest_record_note	visible	feature/guest
lock_screen_body	visible	app
lock_sheet_note	visible	app
logout_confirm_body	visible	app
membership_access_fund_note	visible	feature/membership
membership_copytrade_note	visible	feature/guest
membership_lbank_note	visible	feature/guest
membership_lbank_note	visible	feature/membership
membership_ourbit_note	visible	feature/guest
membership_ourbit_note	visible	feature/membership
membership_record_note	visible	feature/membership
membership_referral_note	visible	feature/guest
notifications_master_note	visible	feature/notifications
notifications_permission_body	visible	feature/notifications
paper_settings_note	visible	feature/papertrade
safety_camera_body	visible	app
safety_how_body	visible	app
safety_privacy_body	visible	app
safety_provider_body	visible	app
safety_risk_body	visible	app
safety_support_body	visible	app
setup_paper_trade_note	visible	feature/chart
tampered_body	visible	app
vision_permission_note	visible	feature/ai-vision
webhooks_secret_hint	visible	feature/alerts
webhooks_url_hint	visible	feature/alerts
indicator_settings_arrangement_note	tip	feature/chart
chart_script_inputs_note	tip	feature/chart
appearance_midnight_note	tip	feature/profile
